mcs,snr,pdr,n
0,11,0.999986301369863,292
0,12,0.9996190476190476,84
0,13,0.9997435897435898,78
0,14,1.0,232
0,15,0.9942780748663101,187
0,16,0.999978813559322,944
0,17,0.9997627118644067,59
0,18,0.9997440000000001,250
1,4,0.9749830508474576,59
1,5,0.9841411042944784,163
1,6,0.9874615384615384,91
1,8,0.9984745762711864,59
1,9,0.9997382550335572,149
1,10,0.9985148514851485,101
1,11,0.9998463687150838,716
1,12,0.9944702702702704,555
1,13,0.9991751152073732,217
1,14,0.995086153846154,650
1,15,0.9990151515151515,660
1,16,0.9999665492957747,1136
1,17,0.9578079169370538,1541
1,18,0.9762196721311475,1525
1,19,0.9998023064250412,607
1,20,1.0,196
2,5,0.9713763440860215,93
2,6,0.979560669456067,239
2,7,0.9770271739130435,184
2,8,0.976475,80
2,9,0.987376811594203,69
2,10,0.999232967032967,455
2,11,0.9997453216374269,3420
2,12,0.9950459132189707,1982
2,13,0.9995257861635221,1590
2,14,0.9992580195258018,2868
2,15,0.9992600243013365,3292
2,16,0.9995710476190476,2625
2,17,0.9996408839779005,1448
2,18,0.9994207972270365,2885
2,19,0.9998348237769594,1901
2,20,0.9973567708333334,768
2,21,1.0,159
3,6,0.9587462686567165,134
3,7,0.9684615384615385,247
3,8,0.9718215488215487,297
3,9,0.9847706422018349,218
3,10,0.9977201365187713,879
3,11,0.9994026535910009,3467
3,12,0.9977843803056028,2356
3,13,0.9988301393728223,2296
3,14,0.9989184709066306,2956
3,15,0.9994193463363205,3794
3,16,0.9996537634408603,2325
3,17,0.9990971175166297,2255
3,18,0.9980496389891697,2216
3,19,0.9983358851674641,1045
3,20,0.9970588235294118,442
3,21,1.0,156
4,-6,1.0,255
4,5,0.880875,40
4,6,0.91225,76
4,7,0.9471597938144329,194
4,8,0.962866576819407,742
4,9,0.9796099426386233,1046
4,10,0.995818439407149,4588
4,11,0.9985907545262384,10881
4,12,0.9974657710710343,5434
4,13,0.998426653750346,7226
4,14,0.9994212921318587,18899
4,15,0.9996082622746564,25683
4,16,0.9997435725249424,20848
4,17,0.9996799422203879,14538
4,18,0.9996221805464037,19729
4,19,0.999593516642547,17275
4,20,0.9999374669905988,9467
4,21,1.0,1621
5,-6,1.0,89
5,6,0.8610294117647058,68
5,7,0.9038354430379748,79
