scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,ceiling_dbm
narrowband,shield_repair,adaptive,phi,radioml,0,300,0.983985039551477,0.9686648964584128,0.0,0.0,1,0.0,0.0,22.88,35.0,0.983985039551477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,1,300,0.984302457788624,0.9723083371558681,0.0,0.0,1,0.0,0.0,22.84,35.0,0.984302457788624,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,2,300,0.9816346761759674,0.9644800095272723,0.0,0.0,1,0.0,0.0,22.91,35.0,0.9816346761759674,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,3,300,0.976211817266435,0.9690766002973372,0.0,0.0,1,0.0,0.0,22.89,35.0,0.976211817266435,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,4,300,0.9842886653951668,0.9696780359681524,0.0,0.0,1,0.0,0.0,22.83,35.0,0.9842886653951668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,5,300,0.9835742599717584,0.9708509515914591,0.0,0.0,1,0.0,0.0,22.86,35.0,0.9835742599717584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,6,300,0.9836089261075218,0.9705636644954505,0.0,0.0,1,0.0,0.0,22.89,35.0,0.9836089261075218,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,7,300,0.983121971077305,0.9692426717917367,0.0,0.0,1,0.0,0.0,22.86,35.0,0.983121971077305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,8,300,0.9794819487812318,0.9683207677259065,0.0,0.0,1,0.0,0.0,22.88,35.0,0.9794819487812318,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,9,300,0.9834565912067778,0.9697902848649023,0.0,0.0,1,0.0,0.0,22.9,35.0,0.9834565912067778,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,10,300,0.9847355997883401,0.9701154391913629,0.0,0.0,1,0.0,0.0,22.85,35.0,0.9847355997883401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,11,300,0.9832869282733677,0.971066649434741,0.0,0.0,1,0.0,0.0,22.87,35.0,0.9832869282733677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,12,300,0.9757897480329907,0.9513090404193298,0.0,0.0,1,0.0,0.0,22.88,35.0,0.9757897480329907,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,13,300,0.9817815024386566,0.9701710249804242,0.0,0.0,1,0.0,0.0,22.9,35.0,0.9817815024386566,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
