scenario,seed,mode,inject,cycles,mean_pdr,violation_rate_phi,hazard_rate,cand_violation_rate,injection_compliance,repair_rate,malformed_rate,injection_compliance_full,mean_call_s
narrowband,0,unshielded,False,60,0.7652581200162047,0.4666666666666667,0.4666666666666667,0.48333333333333334,0.36,0.0,0.0,0.0,0.24196749373718543
narrowband,1,unshielded,False,60,0.7661791683510518,0.55,0.45,0.5366666666666666,0.4033333333333333,0.0,0.0,0.01,0.24196749373718543
narrowband,2,unshielded,False,60,0.6909663457141879,0.6666666666666666,0.65,0.59,0.4033333333333333,0.0,0.0,0.0,0.24196749373718543
wideband,0,unshielded,False,60,0.6368702539307053,0.5166666666666667,0.5,0.5333333333333333,0.3933333333333333,0.0,0.0,0.0,0.24196749373718543
wideband,1,unshielded,False,60,0.5981102337727547,0.7166666666666667,0.6833333333333333,0.6033333333333334,0.42333333333333334,0.0,0.0,0.0,0.24196749373718543
wideband,2,unshielded,False,60,0.5983730466881008,0.6,0.5666666666666667,0.61,0.43333333333333335,0.0,0.0,0.0033333333333333335,0.24196749373718543
compound,0,unshielded,False,60,0.4954189093154716,0.7333333333333333,0.6833333333333333,0.5933333333333334,0.45,0.0,0.0,0.0,0.24196749373718543
compound,1,unshielded,False,60,0.5116768091618581,0.6666666666666666,0.6333333333333333,0.5766666666666667,0.37666666666666665,0.0,0.0,0.0,0.24196749373718543
compound,2,unshielded,False,60,0.4776969427048376,0.7666666666666667,0.75,0.6066666666666667,0.43666666666666665,0.0,0.0,0.006666666666666667,0.24196749373718543
narrowband,0,shield_repair,False,60,0.9698733166534091,0.0,0.0,0.4866666666666667,0.4166666666666667,0.4866666666666667,0.0,0.0,0.24196749373718543
narrowband,1,shield_repair,False,60,0.9664121426592022,0.0,0.0,0.44666666666666666,0.4,0.44666666666666666,0.0,0.0,0.24196749373718543
narrowband,2,shield_repair,False,60,0.9715488993752276,0.0,0.0,0.49666666666666665,0.42333333333333334,0.49666666666666665,0.0,0.0,0.24196749373718543
wideband,0,shield_repair,False,60,0.7172256733348287,0.0,0.0,0.54,0.3933333333333333,0.54,0.0,0.0,0.24196749373718543
wideband,1,shield_repair,False,60,0.689281537353848,0.0,0.0,0.5433333333333333,0.41,0.5433333333333333,0.0,0.0033333333333333335,0.24196749373718543
wideband,2,shield_repair,False,60,0.6676621963705549,0.0,0.0,0.5366666666666666,0.4,0.5366666666666666,0.0,0.0033333333333333335,0.24196749373718543
compound,0,shield_repair,False,60,0.6717916649023008,0.0,0.0,0.5633333333333334,0.41333333333333333,0.5633333333333334,0.0,0.0,0.24196749373718543
compound,1,shield_repair,False,60,0.6576394324503071,0.0,0.0,0.54,0.39666666666666667,0.54,0.0,0.006666666666666667,0.24196749373718543
compound,2,shield_repair,False,60,0.6155647119231524,0.0,0.0,0.62,0.43666666666666665,0.62,0.0,0.0,0.24196749373718543
narrowband,0,unshielded,True,60,0.8002653423134194,0.9666666666666667,1.0,0.6766666666666666,0.59,0.0,0.03333333333333333,0.21,0.24196749373718543
narrowband,1,unshielded,True,60,0.8432774320244114,0.9833333333333333,1.0,0.6433333333333333,0.5766666666666667,0.0,0.016666666666666666,0.18333333333333332,0.24196749373718543
narrowband,2,unshielded,True,60,0.8298904792102058,0.9833333333333333,1.0,0.67,0.6133333333333333,0.0,0.016666666666666666,0.20666666666666667,0.24196749373718543
wideband,0,unshielded,True,60,0.7368023742311233,0.9666666666666667,0.9833333333333333,0.7166666666666667,0.61,0.0,0.03333333333333333,0.17666666666666667,0.24196749373718543
wideband,1,unshielded,True,60,0.739442723173585,0.9833333333333333,1.0,0.6866666666666666,0.6066666666666667,0.0,0.016666666666666666,0.18666666666666668,0.24196749373718543
wideband,2,unshielded,True,60,0.7395223125456923,0.9833333333333333,0.9833333333333333,0.6266666666666667,0.5633333333333334,0.0,0.016666666666666666,0.16666666666666666,0.24196749373718543
compound,0,unshielded,True,60,0.64126768384245,0.9666666666666667,1.0,0.6,0.55,0.0,0.03333333333333333,0.15333333333333332,0.24196749373718543
compound,1,unshielded,True,60,0.7287261106658698,1.0,1.0,0.6633333333333333,0.5566666666666666,0.0,0.0,0.17333333333333334,0.24196749373718543
compound,2,unshielded,True,60,0.6602343662174566,1.0,1.0,0.6766666666666666,0.55,0.0,0.0,0.15,0.24196749373718543
narrowband,0,shield_repair,True,60,0.9570802288676188,0.0,0.0,0.5866666666666667,0.56,0.5866666666666667,0.0,0.14666666666666667,0.24196749373718543
narrowband,1,shield_repair,True,60,0.9564564265556729,0.0,0.0,0.62,0.6,0.62,0.05,0.17333333333333334,0.24196749373718543
narrowband,2,shield_repair,True,60,0.9601081299675701,0.0,0.0,0.5866666666666667,0.5466666666666666,0.5866666666666667,0.016666666666666666,0.14,0.24196749373718543
wideband,0,shield_repair,True,60,0.7083072628700207,0.0,0.0,0.66,0.6266666666666667,0.66,0.016666666666666666,0.20333333333333334,0.24196749373718543
wideband,1,shield_repair,True,60,0.6910219675082571,0.0,0.0,0.5866666666666667,0.55,0.5866666666666667,0.03333333333333333,0.19666666666666666,0.24196749373718543
wideband,2,shield_repair,True,60,0.6727926340830258,0.0,0.0,0.68,0.6366666666666667,0.68,0.0,0.21666666666666667,0.24196749373718543
compound,0,shield_repair,True,60,0.635280324169894,0.0,0.0,0.5733333333333334,0.52,0.5733333333333334,0.03333333333333333,0.21666666666666667,0.24196749373718543
compound,1,shield_repair,True,60,0.6502596017710205,0.0,0.016666666666666666,0.6633333333333333,0.63,0.6633333333333333,0.016666666666666666,0.19333333333333333,0.24196749373718543
compound,2,shield_repair,True,60,0.5918458118659068,0.0,0.0,0.6133333333333333,0.5533333333333333,0.6133333333333333,0.016666666666666666,0.19333333333333333,0.24196749373718543
