scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm
narrowband,static,naive,phi,radioml,0,300,0.2611063691811559,0.0013098841440515592,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.4888936308188442,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,1,300,0.26153311209216956,0.0015833525040048208,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48846688790783027,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,2,300,0.26187360773636525,0.0016799441321044273,0.0,0.7466666666666667,221,0.0,0.0,23.0,35.0,-0.4847930589303014,0.0,0.0,0.0,0.0,0.7466666666666667,0.0
narrowband,static,naive,phi,radioml,3,300,0.26167360079131907,0.0014662368495002222,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48832639920868093,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,4,300,0.26157341573966497,0.0013692124083218742,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.488426584260335,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,5,300,0.2618203932699182,0.001638424380846915,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.4881796067300818,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,6,300,0.26129482418723843,0.0014435061708648537,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48870517581276157,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,7,300,0.2617018347872846,0.0015382351436538694,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.4882981652127154,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,8,300,0.26149804712678154,0.0015491759557397131,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48850195287321846,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,9,300,0.2610550156595019,0.0012164761377434,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.4889449843404981,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,10,300,0.26136951843409073,0.0015747161894593357,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48863048156590927,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,11,300,0.2620598095170731,0.0015358221416305001,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.4879401904829269,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,12,300,0.26162482744871646,0.0014630998434657322,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48837517255128354,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,13,300,0.26148484720000226,0.0017885202795906855,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48851515279999785,0.0,0.0,0.0,0.0,0.75,0.0
