scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,dropped
narrowband,shield_repair,naive,loo,radioml,0,300,0.9880242168209619,0.978923189052068,0.0,0.09,1,0.0,0.3393333333333333,26.373333333333335,39.38416139973205,0.8980242168209619,0.0,0.09,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,1,300,0.9919748535714139,0.9862040077432356,0.0,0.07,1,0.0,0.3526666666666667,26.116666666666667,37.047020273997454,0.921974853571414,0.0,0.07,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,2,300,0.9917386442042933,0.986216833923414,0.0,0.08666666666666667,1,0.0,0.3433333333333333,26.516666666666666,43.477845856006226,0.9050719775376266,0.0,0.08666666666666667,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,3,300,0.9913094631734024,0.9740378726870449,0.0,0.08,1,0.0,0.34933333333333333,26.293333333333333,40.222933489860175,0.9113094631734024,0.0,0.08,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,4,300,0.9913785826992142,0.9828326994417224,0.0,0.05333333333333334,1,0.0,0.35533333333333333,26.436666666666667,43.81480587817549,0.9380452493658809,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,5,300,0.9913751484815786,0.9739999750442907,0.0,0.07,1,0.0,0.364,26.22,42.97830657562457,0.9213751484815785,0.0,0.07,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,6,300,0.9881037584983559,0.9760995643579743,0.0,0.05,1,0.0,0.3313333333333333,26.336666666666666,39.176749180916616,0.9381037584983558,0.0,0.05,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,7,300,0.991855894290604,0.9860873959933631,0.0,0.07666666666666666,1,0.0,0.35333333333333333,26.54,40.84516121912245,0.9151892276239373,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,8,300,0.9913994329883754,0.9739998467528639,0.0,0.08,1,0.0,0.3506666666666667,26.413333333333334,40.84265473396387,0.9113994329883754,0.0,0.08,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,9,300,0.9914299924921931,0.9813884458287413,0.0,0.06,1,0.0,0.34933333333333333,26.37,46.80636337569092,0.9314299924921932,0.0,0.06,0.0,0.0,0.0,0.0,none
narrowband,shield_repair,naive,loo,radioml,10,300,0.9913774634717455,0.9739999138207099,0.0,0.06,1,0.0,0.3486666666666667,26.56,41.32939903684903,0.9313774634717453,0.0,0.06,0.0,0.0,0.0,0.0,none
