scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,bler_slope
narrowband,heuristic,naive,phi,radioml,0,300,0.9770977310891268,0.9400787623595629,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9770977310891268,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,1,300,0.977168234410561,0.9357957499474046,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.977168234410561,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,2,300,0.9766124207437193,0.9364396206843761,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9766124207437193,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,3,300,0.9769453085043361,0.9401360858191524,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9769453085043361,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,4,300,0.9744448301439964,0.9419172790303951,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9744448301439964,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,5,300,0.9768463150909735,0.9350851394717098,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9768463150909735,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,6,300,0.976295129304764,0.9378059874512302,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.976295129304764,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,7,300,0.9772239525389996,0.9395231417988055,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9772239525389996,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,8,300,0.9748380473033452,0.9384627974721415,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9748380473033452,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,heuristic,naive,phi,radioml,9,300,0.9774529905384789,0.9425077834675368,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9774529905384789,0.0,0.0,0.0,0.0,0.0,0.0,0.5
narrowband,greedy_twin,naive,phi,radioml,0,300,0.9738498335987026,0.9342885234749017,0.33666666666666667,0.49,1,0.0,0.0,28.36,56.39671493279533,0.4838498335987026,0.13666666666666666,0.3,0.10666666666666667,0.0,0.0,0.21,0.5
narrowband,greedy_twin,naive,phi,radioml,1,300,0.9746270320079594,0.9326303955071176,0.32666666666666666,0.5166666666666667,1,0.0,0.0,28.553333333333335,61.13762368601559,0.45796036534129275,0.11333333333333333,0.30333333333333334,0.07,0.0,0.0,0.2833333333333333,0.5
