scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,twin
narrowband,greedy_twin,naive,phi,radioml,0,300,0.988003127625117,0.9739999999787553,0.21666666666666667,0.27,1,0.0,0.0,26.67,37.12726996838054,0.718003127625117,0.09333333333333334,0.14333333333333334,0.08666666666666667,0.0,0.0,0.0,perception_aware
narrowband,greedy_twin,naive,phi,radioml,1,300,0.9913891354875062,0.9798954577588974,0.18666666666666668,0.25333333333333335,1,0.0,0.0,26.823333333333334,51.508903455550275,0.7380558021541729,0.07666666666666666,0.13333333333333333,0.06,0.0,0.0,0.023333333333333334,perception_aware
narrowband,greedy_twin,naive,phi,radioml,2,300,0.99136607691883,0.9765310528310237,0.22666666666666666,0.33666666666666667,1,0.0,0.0,27.27,41.11366061499793,0.6546994102521634,0.08,0.18333333333333332,0.06333333333333334,0.0,0.0,0.09,perception_aware
narrowband,greedy_twin,naive,phi,radioml,3,300,0.9918454416492117,0.9853622162794051,0.18333333333333332,0.23,1,0.0,0.0,26.826666666666668,47.029837703938526,0.7618454416492118,0.06333333333333334,0.14,0.043333333333333335,0.0,0.0,0.006666666666666667,perception_aware
narrowband,greedy_twin,naive,phi,radioml,4,300,0.9915343611230102,0.9835467870667524,0.24666666666666667,0.2966666666666667,1,0.0,0.0,27.01,46.524459169189534,0.6948676944563433,0.07333333333333333,0.12666666666666668,0.12333333333333334,0.0,0.0,0.03,perception_aware
narrowband,greedy_twin,naive,phi,radioml,5,300,0.9905151526948828,0.9739999993479302,0.23,0.3,1,0.0,0.0,26.85333333333333,36.040878158190395,0.6905151526948827,0.11,0.13666666666666666,0.09,0.0,0.0,0.056666666666666664,perception_aware
narrowband,greedy_twin,naive,phi,radioml,6,300,0.9876525421403373,0.9803290981155012,0.17666666666666667,0.21333333333333335,1,0.0,0.0,26.673333333333332,41.21878737102796,0.7743192088070039,0.07,0.10333333333333333,0.06333333333333334,0.0,0.0,0.013333333333333334,perception_aware
narrowband,greedy_twin,naive,phi,radioml,7,300,0.9919982219345599,0.9859597314300426,0.23,0.32,1,0.0,0.0,27.25,42.012172358883184,0.6719982219345598,0.06666666666666667,0.16,0.06666666666666667,0.0,0.0,0.07,perception_aware
narrowband,greedy_twin,naive,phi,radioml,8,300,0.9909197518025818,0.9739998584430145,0.23,0.2866666666666667,1,0.0,0.0,27.336666666666666,42.179841390284494,0.7042530851359152,0.08,0.17,0.06666666666666667,0.0,0.0,0.04,perception_aware
narrowband,greedy_twin,naive,phi,radioml,9,300,0.9911926254149843,0.9775315058982461,0.25666666666666665,0.33666666666666667,1,0.0,0.0,27.153333333333332,46.21105747903723,0.6545259587483176,0.10333333333333333,0.15333333333333332,0.08333333333333333,0.0,0.0,0.08333333333333333,perception_aware
narrowband,greedy_twin,naive,phi,radioml,10,300,0.9916319670040017,0.9739999527235773,0.20666666666666667,0.25333333333333335,1,0.0,0.0,26.873333333333335,42.867017970350915,0.7382986336706683,0.08,0.11333333333333333,0.08,0.0,0.0,0.0,perception_aware
