condition,scenario,controller,seed,cycles,mean_pdr,p95_latency_proxy,safety_violations,violation_rate,recovery_cycles,rollbacks,admitted_actions,total_proposals,mean_reward
perfect,narrowband,static,0,300,0.7561887970944334,3.488894643197073,0,0.0,14,0,0,0,0.2961887970944333
perfect,narrowband,static,1,300,0.7536270094024801,3.3965863872167725,0,0.0,5,0,0,0,0.2936270094024801
perfect,narrowband,static,2,300,0.7424647665215792,3.9939864288387508,0,0.0,17,0,0,0,0.28246476652157926
perfect,narrowband,static,3,300,0.7620040543187339,3.27307889529302,0,0.0,128,0,0,0,0.3020040543187339
perfect,narrowband,static,4,300,0.7577563155057986,3.1800807010169216,0,0.0,160,0,0,0,0.2977563155057984
perfect,narrowband,static,5,300,0.7538040069720827,3.5253111329634392,0,0.0,113,0,0,0,0.29380400697208264
perfect,narrowband,static,6,300,0.7531493739270918,3.4790804165613887,0,0.0,160,0,0,0,0.2931493739270918
perfect,narrowband,static,7,300,0.7393053809601488,3.939765628387081,0,0.0,133,0,0,0,0.27930538096014873
perfect,narrowband,static,8,300,0.7568819344027258,3.4670305851405114,0,0.0,74,0,0,0,0.29688193440272576
perfect,narrowband,static,9,300,0.7588914976977228,3.620630587044354,0,0.0,62,0,0,0,0.29889149769772305
perfect,narrowband,heuristic,0,300,0.9999988622940316,0.9990051929444188,0,0.0,1,0,0,0,0.5399988622940314
perfect,narrowband,heuristic,1,300,0.9999986576761584,0.999005993359103,0,0.0,1,0,0,0,0.5399986576761585
perfect,narrowband,heuristic,2,300,0.9999986609341255,0.9990069499464281,0,0.0,1,0,0,0,0.5399986609341255
perfect,narrowband,heuristic,3,300,0.9999987168373142,0.9990053984948714,0,0.0,1,0,0,0,0.5399987168373144
perfect,narrowband,heuristic,4,300,0.9999987319247626,0.9990063752843198,0,0.0,1,0,0,0,0.5399987319247628
perfect,narrowband,heuristic,5,300,0.9999988485199568,0.9990053330704176,0,0.0,1,0,0,0,0.5399988485199568
perfect,narrowband,heuristic,6,300,0.9999988833147468,0.9990056010166399,0,0.0,1,0,0,0,0.5399988833147467
perfect,narrowband,heuristic,7,300,0.9999986158362257,0.9990056039296064,0,0.0,1,0,0,0,0.5399986158362257
perfect,narrowband,heuristic,8,300,0.9999986173208475,0.9990061474298789,0,0.0,1,0,0,0,0.5399986173208475
perfect,narrowband,heuristic,9,300,0.999998733047999,0.9990056339284237,0,0.0,1,0,0,0,0.5399987330479992
